oferta_id;oferta_tomador_sexo;oferta_tom_cond;oferta_propietario_tom;oferta_propietario_cond;oferta_veh_tara;oferta_veh_categoria;oferta_veh_puertos;antiguedad_permiso;antiguedad_permiso_riesgo;edad_segundo_conductor_riesgo;cliente_extranjero;car_ranking;d_uso_particular;d_uso_alquiler;d_tipo_ciclomotor;d_tipo_furgoneta;d_tipo_camion;d_tipo_autocar;d_tipo_remolque;d_tipo_agricola;d_tipo_industrial;d_tipo_triciclo;vehiculo_heavy;oferta_sim_cia_actual;oferta_sim_siniestro_5_anio_culpa;oferta_sim_anios_asegurado;oferta_sim_antiguedad_cia_actual;oferta_sim_siniestro_1_anio_culpa;oferta_bonus_simulacion_perc;oferta_veh_valor_unitary;cliente_edad_18_30;cliente_edad_30_65;cliente_edad_65;antiguedad_vehiculo;oferta_adicional_riesgo;oferta_veh_marca;oferta_veh_modelo;oferta_veh_version;oferta_veh_accesorio;oferta_veh_uso;oferta_veh_tipo;oferta_veh_grupo_tarifa;oferta_veh_plazas;oferta_veh_potencia;oferta_veh_cilindrada;cliente_region_AFRICAARABE;cliente_region_AFRICASUBSHARIANA;cliente_region_AMERICADELSUR;cliente_region_ASIAORIENTAL;cliente_region_EUROPACENTRAL;cliente_region_EUROPADELNORTE;cliente_region_EUROPADELSUR;cliente_region_EUROPAOCCIDENTAL;cliente_region_EUROPAORIENTAL;cliente_region_MARCARIBE;cliente_region_OCEANIA;cliente_region_nan;d_sin_cia;cp_risk_relabel;intm_risk_relabel;customer_risk_relabel;veh_risk_relabel;target;risk_cia
7406;1;1;1;1;0;1;0;52;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;29840;0;0;1;18;0;0049;19;47;1500.0;110;100;18;5;194.0;2946;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;6;9;1;0
1455;0;1;1;1;0;1;0;24;0;0;0;5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;50.0;21030;0;1;0;4;0;0017;19;196;1500.0;210;200;16;5;92.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;6;9;1;0
5489;1;1;1;1;0;3;0;28;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;500;0;1;0;28;0;0288;22;1;0.0;710;240;32;2;20.0;247;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;7;9;1;0
14408;1;1;1;1;0;1;0;23;0;0;0;9;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;24365;0;1;0;8;0;0017;28;63;1500.0;210;300;16;3;90.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;7;9;1;0
12986;1;1;1;1;0;3;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;5984;0;1;0;2;0;0026;487;1;200.0;710;240;41;2;55.0;745;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;0;4;9;1;0
8695;1;1;0;0;0;1;0;34;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;54;0;30;30;0;50.0;38344;0;1;0;5;0;65;63;156;1500.0;111;100;18;5;163.0;1984;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;5;9;1;0
12158;0;1;1;1;0;1;0;17;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0;7200;0;1;0;17;0;0027;15;1;1500.0;110;100;15;5;55.0;999;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;4;9;1;0
7416;0;1;1;0;0;1;0;13;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;4;0;20;20;0;35.0;37298;0;1;0;2;0;64;60;721;1500.0;210;300;18;3;136.0;1968;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;0;6;3;1;0
9597;1;1;0;0;0;3;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;7068;1;0;0;15;0;0059;72;7;200.0;710;240;41;2;80.0;599;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;6;9;1;0
9558;1;1;0;0;0;1;0;28;0;0;0;9;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;23799;0;1;0;11;0;0061;28;28;1500.0;210;310;17;8;117.0;2494;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;6;9;1;0
9507;1;0;1;0;0;1;0;19;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;50.0;11642;0;1;0;24;0;0023;28;93;1500.0;210;300;15;3;69.0;2496;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
